"Your request was submitted. We'll get in touch with you as soon as possible.","Your request was submitted. We'll get in touch with you as soon as possible."
"Request can not be sent","Request can not be sent"
"Please, check the form data. Some fields are not filled in correctly.","Please, check the form data. Some fields are not filled in correctly."
"Your request can not be submitted right now. Please, contact us directly via email or phone to get your Sample.","Your request can not be submitted right now. Please, contact us directly via email or phone to get your Sample."
"Something went wrong. Probably you were away for quite a long time already. Please, reload the page and try again.","Something went wrong. Probably you were away for quite a long time already. Please, reload the page and try again."
"This request is not valid and can not be processed.","This request is not valid and can not be processed."
